epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,106.761,1.09641,1.95504,2.45367,1.13926,0,0.92883,0.22354,0.31647,0.2111,0.92883,0.22354,0.30492,0.1996,1.10852,1.92737,2.72482,1.12861,0,0.000915875,0.000915875,0.000915875
29,110.526,1.02341,1.83792,2.14882,1.03771,0,0.92883,0.22354,0.31647,0.2111,0.92883,0.22354,0.30492,0.1996,1.10852,1.92737,2.72482,1.12861,0,0.0009035,0.0009035,0.0009035
30,113.659,1.11351,1.99376,2.23394,1.07783,0,0.63446,0.2402,0.31403,0.21118,0.63446,0.2402,0.28968,0.19625,1.15362,1.96775,2.68145,1.13182,0,0.000891125,0.000891125,0.000891125
31,116.955,1.13149,1.83873,2.5086,1.12453,0,0.62865,0.23545,0.31902,0.21539,0.62865,0.23545,0.30753,0.2032,1.08913,1.76242,2.59488,1.09709,0,0.00087875,0.00087875,0.00087875
32,121.25,0.9637,1.63408,2.17335,1.02685,0,0.62865,0.23545,0.31902,0.21539,0.62865,0.23545,0.30753,0.2032,1.08913,1.76242,2.59488,1.09709,0,0.000866375,0.000866375,0.000866375
33,125.22,1.00337,1.80175,2.00454,1.0292,0,0.93602,0.2346,0.31712,0.20893,0.93602,0.2346,0.30788,0.20411,0.98364,1.686,2.59131,1.06163,0,0.000854,0.000854,0.000854
34,128.234,0.98226,1.75075,2.29508,1.06855,0,0.93602,0.2346,0.31712,0.20893,0.93602,0.2346,0.30788,0.20411,0.98364,1.686,2.59131,1.06163,0,0.000841625,0.000841625,0.000841625
35,131.522,1.04156,1.76515,2.06502,1.02986,0,0.92004,0.23783,0.3139,0.20696,0.92004,0.23783,0.30474,0.20681,0.98397,1.69586,2.59888,1.05523,0,0.00082925,0.00082925,0.00082925
36,135.806,0.95878,1.81539,2.26229,1.04166,0,0.84716,0.2402,0.31952,0.19966,0.84716,0.2402,0.30867,0.19806,1.00363,1.74664,2.64563,1.05807,0,0.000816875,0.000816875,0.000816875
37,139.614,0.9893,1.71214,1.98973,1.00762,0,0.84716,0.2402,0.31952,0.19966,0.84716,0.2402,0.30867,0.19806,1.00363,1.74664,2.64563,1.05807,0,0.0008045,0.0008045,0.0008045
38,142.632,0.94691,1.74458,2.15278,1.00077,0,0.94768,0.22065,0.34091,0.18754,0.94768,0.22065,0.31904,0.20206,1.0348,1.78952,2.65214,1.08831,0,0.000792125,0.000792125,0.000792125
