epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
34,87.9783,1.09,2.05121,1.95355,1.14053,0,0.5625,0.17745,0.35442,0.27747,0.5625,0.17745,0.35442,0.26065,1.6432,3.10205,2.64942,1.4119,0,0.00260737,0.00260737,0.00260737
35,89.9642,1.13974,1.87045,1.91264,1.10907,0,0.1875,0.10882,0.1407,0.09669,0.1875,0.10882,0.1407,0.10341,1.60787,3.52759,2.62219,1.36021,0,0.0025844,0.0025844,0.0025844
36,91.9258,1.25709,2.33761,2.00267,1.22366,0,0.15761,0.09412,0.11222,0.07414,0.14674,0.07941,0.10006,0.06442,1.53027,3.39001,2.59815,1.33807,0,0.00256088,0.00256088,0.00256088
37,93.8374,1.31869,3.07125,2.94506,1.23025,0,0.05769,0.04412,0.05105,0.04313,0.03846,0.02941,0.03313,0.02089,1.56544,3.36558,2.61494,1.38523,0,0.00253683,0.00253683,0.00253683
38,96.3375,1.35662,2.23529,2.16,1.26886,0,0.05769,0.04412,0.05105,0.04313,0.03846,0.02941,0.03313,0.02089,1.56544,3.36558,2.61494,1.38523,0,0.00251225,0.00251225,0.00251225
39,99.5251,1.25151,2.15963,1.88215,1.16821,0,0.05882,0.05882,0.05372,0.04141,0.04412,0.04412,0.03891,0.02424,1.58021,2.95584,2.52614,1.37529,0,0.00248716,0.00248716,0.00248716
40,101.757,1.13714,2.04446,1.93573,1.15263,0,0.05405,0.11765,0.05062,0.0357,0.0473,0.10294,0.04131,0.02735,1.61823,2.76817,2.54495,1.40373,0,0.00246158,0.00246158,0.00246158
41,103.855,1.2158,2.08059,1.86322,1.16545,0,0.13225,0.21569,0.09714,0.0384,0.12681,0.20098,0.09041,0.04454,1.61122,2.49416,2.75691,1.42577,0,0.00243552,0.00243552,0.00243552
42,105.705,1.30276,2.31079,2.03555,1.23399,0,0.17905,0.20098,0.17751,0.05896,0.1723,0.18627,0.16387,0.0621,1.56603,2.58434,2.66697,1.38704,0,0.00240898,0.00240898,0.00240898
43,107.613,1.26131,2.09713,1.8047,1.20092,0,0.17905,0.20098,0.17751,0.05896,0.1723,0.18627,0.16387,0.0621,1.56603,2.58434,2.66697,1.38704,0,0.00238199,0.00238199,0.00238199
44,109.476,1.47184,2.92038,2.52133,1.45653,0,0.35,0.17157,0.24272,0.08408,0.33333,0.15686,0.22287,0.10079,1.62356,2.9523,2.6089,1.41414,0,0.00235455,0.00235455,0.00235455
45,112.457,1.12121,1.85557,2.21769,1.08142,0,0.35714,0.12745,0.23653,0.08249,0.32143,0.11275,0.20952,0.09476,1.69916,3.14163,2.80866,1.42811,0,0.00232668,0.00232668,0.00232668
46,115.137,1.12429,2.44322,2.09004,1.17002,0,0.326,0.04412,0.06037,0.04246,0.3002,0.02941,0.03969,0.02517,1.6271,3.00886,2.73745,1.36423,0,0.0022984,0.0022984,0.0022984
47,116.998,1.1374,2.00044,1.71065,1.16436,0,0.59029,0.04412,0.05249,0.03671,0.30444,0.02941,0.03037,0.01944,1.50446,2.87624,2.65554,1.31217,0,0.00226971,0.00226971,0.00226971
48,118.929,1.08826,1.88444,1.61293,1.1235,0,0.59029,0.04412,0.05249,0.03671,0.30444,0.02941,0.03037,0.01944,1.50446,2.87624,2.65554,1.31217,0,0.00224064,0.00224064,0.00224064
49,120.789,1.26623,2.19463,1.98245,1.23148,0,0.21429,0.15686,0.15958,0.07109,0.19643,0.14216,0.13039,0.06414,1.44305,2.9067,2.54367,1.29328,0,0.0022112,0.0022112,0.0022112
50,122.624,1.07339,2.04075,1.83322,1.12488,0,0.89702,0.11275,0.1664,0.06601,0.7983,0.09804,0.13486,0.05887,1.42738,3.07512,2.34393,1.2889,0,0.0021814,0.0021814,0.0021814
51,124.442,1.12154,1.78606,2.10508,1.12101,0,0.35143,0.11275,0.20029,0.09675,0.23443,0.09804,0.15085,0.0701,1.3926,3.06562,2.4292,1.28399,0,0.00215125,0.00215125,0.00215125
52,127.161,0.97984,1.75281,1.9493,1.07912,0,0.59822,0.11275,0.17809,0.08393,0.5365,0.09804,0.14802,0.07978,1.30539,3.00647,2.42467,1.20348,0,0.00212078,0.00212078,0.00212078
53,130.061,1.12185,2.01414,1.65354,1.16544,0,0.59822,0.11275,0.17809,0.08393,0.5365,0.09804,0.14802,0.07978,1.30539,3.00647,2.42467,1.20348,0,0.00208999,0.00208999,0.00208999
54,132.123,1.16802,1.98978,1.83106,1.15425,0,0.36667,0.18627,0.26935,0.09617,0.35,0.17157,0.24684,0.11954,1.33979,2.99077,2.39222,1.22608,0,0.00205891,0.00205891,0.00205891
55,134.088,1.1799,2.10798,1.87193,1.19886,0,0.33333,0.18627,0.25159,0.08964,0.32143,0.17157,0.23124,0.09552,1.39139,2.80386,2.42855,1.23766,0,0.00202755,0.00202755,0.00202755
56,135.842,1.04704,1.89619,1.74141,1.11386,0,0.38919,0.08824,0.07736,0.05073,0.36553,0.07353,0.05888,0.03283,1.38718,2.58888,2.52886,1.20911,0,0.00199592,0.00199592,0.00199592
57,137.895,1.0462,1.65702,2.04224,1.05099,0,0.09722,0.10294,0.07367,0.05026,0.08333,0.08824,0.06007,0.03733,1.45242,2.4219,2.58118,1.25338,0,0.00196404,0.00196404,0.00196404
58,139.864,1.19299,2.04666,1.70418,1.20756,0,0.09722,0.10294,0.07367,0.05026,0.08333,0.08824,0.06007,0.03733,1.45242,2.4219,2.58118,1.25338,0,0.00193193,0.00193193,0.00193193
59,142.844,1.05593,1.7094,1.62405,1.07979,0,0.20109,0.18627,0.18147,0.06417,0.19022,0.17157,0.17038,0.07932,1.47299,2.35298,2.59145,1.25876,0,0.00189961,0.00189961,0.00189961
