epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
32,80.209,1.03719,1.95238,1.74322,1.07222,0,0.36314,0.08824,0.07971,0.057,0.34362,0.07353,0.05788,0.03134,1.47046,3.20742,2.52397,1.29351,0,0.00211064,0.00211064,0.00211064
33,82.1987,1.03127,1.69159,2.15237,1.09909,0,0.36314,0.08824,0.07971,0.057,0.34362,0.07353,0.05788,0.03134,1.47046,3.20742,2.52397,1.29351,0,0.00208662,0.00208662,0.00208662
34,84.185,1.22282,2.18929,1.78993,1.20354,0,0.2536,0.14164,0.16838,0.13255,0.20345,0.13039,0.13761,0.0923,1.41444,3.55351,2.48314,1.25802,0,0.00206203,0.00206203,0.00206203
35,87.5455,0.96605,1.79178,1.72758,1.09975,0,0.22236,0.25098,0.18539,0.13354,0.20978,0.23627,0.16218,0.10487,1.46462,3.68153,2.3995,1.27532,0,0.00203688,0.00203688,0.00203688
36,90.0141,1.10398,2.05139,2.18691,1.10061,0,0.23138,0.22157,0.16573,0.123,0.2192,0.20686,0.15398,0.10788,1.44821,3.40879,2.44989,1.27036,0,0.0020112,0.0020112,0.0020112
37,91.9964,1.17178,2.07566,1.96015,1.15285,0,0.46119,0.22157,0.19921,0.15238,0.44883,0.20686,0.18344,0.1345,1.39455,3.35441,2.57514,1.24238,0,0.00198499,0.00198499,0.00198499
38,93.9029,1.18224,2.07153,1.8276,1.22277,0,0.46119,0.22157,0.19921,0.15238,0.44883,0.20686,0.18344,0.1345,1.39455,3.35441,2.57514,1.24238,0,0.00195828,0.00195828,0.00195828
39,95.7472,1.05968,1.86619,1.70151,1.13937,0,0.19444,0.20686,0.22469,0.15027,0.18056,0.19216,0.19914,0.14648,1.41392,3.07563,2.43374,1.22653,0,0.00193108,0.00193108,0.00193108
40,97.722,1.27458,2.0867,1.75319,1.18044,0,0.46806,0.15394,0.20427,0.12484,0.40181,0.14216,0.17511,0.13303,1.55616,2.86289,2.42271,1.30879,0,0.00190342,0.00190342,0.00190342
41,99.7796,1.12446,1.87148,1.77939,1.16772,0,0.20866,0.15686,0.1995,0.1262,0.17764,0.14216,0.16639,0.12941,1.52515,2.46948,2.31152,1.28055,0,0.00187531,0.00187531,0.00187531
42,102.798,1.15703,2.01557,1.92747,1.12329,0,0.1792,0.22157,0.21004,0.15464,0.16299,0.20686,0.18354,0.14007,1.49475,2.38749,2.29693,1.25855,0,0.00184678,0.00184678,0.00184678
