epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1764.64,0.75823,1.20088,0.78259,1.13117,0,0.91746,0.7828,0.89068,0.67475,0.91746,0.7828,0.88781,0.68856,0.83199,1.24184,0.73688,1.24681,0,0.0009308,0.0009308,0.0009308
29,1809.09,0.74289,1.21797,0.7567,1.14262,0,0.88826,0.8169,0.90201,0.70702,0.88899,0.8169,0.90391,0.72144,0.79939,1.29545,0.70378,1.23633,0,0.0008912,0.0008912,0.0008912
30,1855.33,0.71546,1.19877,0.72398,1.11262,0,0.88694,0.83568,0.89317,0.69789,0.89614,0.84977,0.90841,0.70321,0.80275,1.3767,0.74233,1.2266,0,0.0008516,0.0008516,0.0008516
31,1907.56,0.70095,1.18172,0.72239,1.10902,0,0.7859,0.8272,0.8886,0.68502,0.79036,0.8319,0.89564,0.70381,0.82297,1.24446,0.72828,1.23528,0,0.000812,0.000812,0.000812
32,1959.31,0.69729,1.15521,0.73272,1.09795,0,0.92424,0.84038,0.92318,0.73539,0.92222,0.84507,0.92205,0.74439,0.76572,1.17751,0.6238,1.17471,0,0.0007724,0.0007724,0.0007724
33,2019.06,0.7066,1.16573,0.68227,1.1067,0,0.86109,0.88263,0.92118,0.73217,0.86583,0.88732,0.92526,0.75016,0.72382,1.17809,0.61619,1.13458,0,0.0007328,0.0007328,0.0007328
34,2067.53,0.67822,1.14011,0.67124,1.08875,0,0.88528,0.86951,0.92047,0.72976,0.88528,0.86951,0.92002,0.73371,0.72743,1.21554,0.64804,1.16117,0,0.0006932,0.0006932,0.0006932
35,2123.97,0.66909,1.09222,0.67135,1.07981,0,0.91995,0.86854,0.92515,0.73508,0.91995,0.86854,0.92618,0.75447,0.7385,1.19248,0.63092,1.16765,0,0.0006536,0.0006536,0.0006536
36,2174.67,0.70313,1.16912,0.67264,1.09725,0,0.91167,0.87324,0.92811,0.74194,0.93393,0.86269,0.93155,0.75253,0.72369,1.25617,0.60957,1.16199,0,0.000614,0.000614,0.000614
37,2221.49,0.68827,1.13699,0.65168,1.10301,0,0.93138,0.82836,0.92484,0.74595,0.94193,0.83775,0.92715,0.7568,0.72195,1.16278,0.57441,1.14226,0,0.0005744,0.0005744,0.0005744
38,2275.6,0.66528,1.11503,0.65568,1.08001,0,0.93511,0.85915,0.93377,0.74136,0.93511,0.85915,0.92961,0.75401,0.72398,1.14104,0.59922,1.14651,0,0.0005348,0.0005348,0.0005348
39,2321.38,0.65604,1.12858,0.64715,1.07524,0,0.90738,0.88263,0.94257,0.7549,0.90843,0.88263,0.94289,0.76561,0.71997,1.12862,0.55638,1.15034,0,0.0004952,0.0004952,0.0004952
40,2364.33,0.65433,1.09274,0.6377,1.08575,0,0.90485,0.88732,0.93771,0.77589,0.9133,0.89202,0.93979,0.76732,0.66217,1.12812,0.53822,1.09946,0,0.0004556,0.0004556,0.0004556
41,2415.54,0.57959,0.96885,0.54977,1.03961,0,0.91388,0.85446,0.91268,0.72544,0.91761,0.85915,0.91685,0.7456,0.75019,1.20598,0.62875,1.18454,0,0.000416,0.000416,0.000416
42,2460.01,0.56934,0.94597,0.49099,1.03659,0,0.93805,0.87324,0.93721,0.7704,0.93805,0.87324,0.9342,0.77423,0.68393,1.15485,0.53295,1.13398,0,0.0003764,0.0003764,0.0003764
43,2507.38,0.54548,0.91018,0.45619,1.02673,0,0.87607,0.89609,0.92373,0.75069,0.90287,0.87324,0.92498,0.76099,0.68889,1.13949,0.56159,1.114,0,0.0003368,0.0003368,0.0003368
44,2557.89,0.55032,0.90093,0.4565,1.03098,0,0.94893,0.8723,0.94224,0.76483,0.94382,0.8676,0.93621,0.7722,0.70943,1.17937,0.53885,1.13113,0,0.0002972,0.0002972,0.0002972
45,2610.57,0.54065,0.90071,0.4566,1.02509,0,0.91381,0.89601,0.94366,0.76582,0.90903,0.89132,0.9336,0.76835,0.70951,1.17319,0.54274,1.14468,0,0.0002576,0.0002576,0.0002576
46,2663.63,0.53197,0.88191,0.42183,1.00521,0,0.91372,0.88263,0.93967,0.76357,0.90886,0.87793,0.93715,0.77233,0.68353,1.1493,0.54505,1.12481,0,0.000218,0.000218,0.000218
47,2715.08,0.51465,0.85312,0.4209,1.01755,0,0.92821,0.89202,0.93808,0.76501,0.93578,0.88938,0.94123,0.77819,0.68296,1.12827,0.50835,1.12179,0,0.0001784,0.0001784,0.0001784
48,2774.65,0.50147,0.86842,0.39788,1.00082,0,0.90132,0.9005,0.94354,0.76827,0.90602,0.9052,0.94166,0.77863,0.68021,1.12602,0.52898,1.12513,0,0.0001388,0.0001388,0.0001388
49,2822.73,0.4948,0.84607,0.39819,0.9842,0,0.92701,0.86385,0.93395,0.77404,0.93205,0.86854,0.93956,0.78125,0.66864,1.14569,0.52531,1.12307,0,9.92e-05,9.92e-05,9.92e-05
50,2872.94,0.49149,0.8305,0.37367,0.98716,0,0.9203,0.88732,0.93872,0.77724,0.93004,0.89671,0.94223,0.78575,0.66317,1.12909,0.51524,1.11699,0,5.96e-05,5.96e-05,5.96e-05
